country,continent,sub_region
Afghanistan,Asia,Southern Asia
Åland Islands,Europe,Northern Europe
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
American Samoa,Australia,Polynesia
Andorra,Europe,Southern Europe
Angola,Africa,Middle Africa
Anguilla,Americas,Caribbean
Antarctica,Antarctica,Antarctica
Antigua and Barbuda,Americas,Caribbean
Argentina,Americas,South America
Armenia,Asia,Western Asia
Aruba,Americas,Caribbean
Australia,Australia,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Bahamas,Americas,Caribbean
Bahrain,Asia,Western Asia
Bangladesh,Asia,Southern Asia
Barbados,Americas,Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,Americas,Central America
Benin,Africa,Western Africa
Bermuda,Americas,Northern America
Bhutan,Asia,Southern Asia
Bolivia,Americas,South America
"Bonaire, Sint Eustatius and Saba",Americas,Caribbean
Bosnia and Herzegovina,Europe,Southern Europe
Botswana,Africa,Southern Africa
Brazil,Americas,South America
Brunei,Asia,South-Eastern Asia
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Western Africa
Burma,Asia,South-Eastern Asia
Burundi,Africa,Eastern Africa
Cabo Verde,Africa,Western Africa
Cambodia,Asia,South-Eastern Asia
Cameroon,Africa,Middle Africa
Canada,Americas,Northern America
Cayman Islands,Americas,Caribbean
Central African Republic,Africa,Middle Africa
Chad,Africa,Middle Africa
Chile,Americas,South America
China,Asia,Eastern Asia
Colombia,Americas,South America
Comoros,Africa,Eastern Africa
Congo (Brazzaville),Africa,Middle Africa
Congo (Kinshasa),Africa,Middle Africa
Cook Islands,Australia,Polynesia
Costa Rica,Americas,Central America
Cote d'Ivoire,Africa,Western Africa
Croatia,Europe,Southern Europe
Cuba,Americas,Caribbean
Curaçao,Americas,Caribbean
Cyprus,Asia,Western Asia
Czechia,Europe,Eastern Europe
Denmark,Europe,Northern Europe
Djibouti,Africa,Eastern Africa
Dominica,Americas,Caribbean
Dominican Republic,Americas,Caribbean
Ecuador,Americas,South America
Egypt,Africa,Northern Africa
El Salvador,Americas,Central America
Equatorial Guinea,Africa,Middle Africa
Eritrea,Africa,Eastern Africa
Estonia,Europe,Northern Europe
Eswatini,Africa,Southern Africa
Ethiopia,Africa,Eastern Africa
Falkland Islands (Malvinas),Americas,South America
Faroe Islands,Europe,Northern Europe
Fiji,Australia,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
French Guiana,Americas,South America
French Polynesia,Australia,Polynesia
Gabon,Africa,Middle Africa
Gambia,Africa,Western Africa
Georgia,Asia,Western Asia
Germany,Europe,Western Europe
Ghana,Africa,Western Africa
Gibraltar,Europe,Southern Europe
Greece,Europe,Southern Europe
Greenland,Americas,Northern America
Grenada,Americas,Caribbean
Guadeloupe,Americas,Caribbean
Guam,Australia,Micronesia
Guatemala,Americas,Central America
Guernsey,Europe,Northern Europe
Guinea,Africa,Western Africa
Guinea-Bissau,Africa,Western Africa
Guyana,Americas,South America
Haiti,Americas,Caribbean
Holy See,Europe,Southern Europe
Honduras,Americas,Central America
Hong Kong,Asia,Eastern Asia
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indonesia,Asia,South-Eastern Asia
Iran,Asia,Southern Asia
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
